X,Y,Z
6.0866466,-3.8800254,-1.1849587
4.897324,-4.3375793,-0.40385383
0.05418257,5.4224734,9.738947
2.9926517,-1.6265149,0.6651371
-2.6337821,2.9640322,6.354084
5.283205,-1.2363043,0.3573823
0.1562056,-4.3456573,0.6390578
-2.7348573,5.0852466,9.870943
-2.4432042,-2.1782858,7.31615
2.4122627,-4.305271,-1.0927825
3.0569003,-4.5309534,1.3649069
3.035824,-4.4515123,-0.9266182
5.874732,-3.0590453,0.86191285
-0.7693229,4.7917128,10.188406
5.0224004,-3.8984005,0.007413313
4.0972376,-0.3142621,1.6442938
4.0451207,-4.748397,0.09145449
-4.598228,-0.07573951,0.13191772
-2.3849876,-3.2769086,0.97813153
1.195898,1.4930799,8.610435
-1.5288656,-1.7494345,7.378501
-3.4804602,6.1841617,8.004008
6.4345427,-4.095239,1.0092859
-2.1732392,6.30428,8.238115
-1.820089,6.6334558,9.717889
1.4950558,1.7456971,2.6855743
1.612704,0.7765743,4.9212675
-2.821329,-1.5650946,8.157002
3.9642491,-0.72929865,2.0951774
-1.3035232,-3.23053,0.6973035
-2.8712616,-0.030723665,0.9063798
-0.07435945,5.569613,10.197366
1.0164219,0.7000822,8.030126
1.0084339,0.4574352,8.844655
-0.557412,5.3279943,9.731639
0.99302185,1.428238,8.064181
5.586194,-4.109555,-1.0703146
-1.2405417,3.3101466,5.4716277
-4.2292113,0.9542985,1.9317132
0.75549144,2.6754642,9.851032
-1.0188365,-2.3630748,-0.039279506
-3.307791,4.180653,8.246308
-1.1693184,5.9684124,10.410867
-0.71711886,4.5913315,9.194389
-3.1181805,-0.80112475,-0.2349089
6.4468007,-2.4864774,1.1357862
1.7568775,0.106094,1.3685732
-4.199619,1.2636136,2.8376532
2.602405,0.04759489,3.846655
-0.29760444,1.7962645,8.027223
0.13187814,-3.8231,-1.3611312
2.1974163,1.0104191,3.6291447
-0.98066086,-3.627923,-0.9208824
-3.5513287,1.0823182,3.0213213
-2.739892,6.0612135,9.329717
-0.62893254,3.2544863,3.6784601
-1.7043791,4.5465856,8.886943
-3.3132448,5.156765,7.433098
-0.6986598,3.1409378,10.183157
1.7267236,-0.7515178,3.986088
-0.851016,-4.4473953,-0.3661961
-2.0942807,-3.3826427,-0.67169255
2.1109111,-4.1815634,0.48093104
3.9835336,-1.087308,2.439139
-1.9655372,-3.2453337,-1.2232708
-3.069569,-2.127346,-0.0018256605
-2.240956,-3.6109986,0.3813014
-2.8158827,-1.1148567,0.88287896
2.7978706,-4.916561,1.0119344
-0.6774873,-3.1854687,7.435377
5.082968,-4.8631287,-0.40136766
5.0814986,-1.203973,1.0286764
-2.6093533,-1.089242,0.40987322
2.4460852,-1.0341033,1.8004633
3.5344338,-4.768218,-0.6670079
-0.73006356,5.1867166,8.640497
0.7296362,-4.2913675,0.22998673
1.4849762,-3.6417227,-0.064159386
-0.69571304,-5.1404877,0.21330501
-2.8803961,-2.0167117,-0.48492447
2.7990928,-0.031690486,3.128315
5.8381963,-3.1964517,-0.2718827
0.8667426,1.3503717,3.7274199
0.024513006,-4.284446,0.1989305
-3.2092555,2.5686097,6.011551
-3.162398,6.457718,9.492947
-1.5972657,-4.361493,-0.45469335
-1.8782357,-3.0903907,-0.17323041
-1.9224064,-2.1468768,7.639877
-4.8932486,-0.27583537,1.2582921
5.519345,-5.0777917,0.07648516
0.46742842,3.123217,9.729787
-1.8533821,-3.138786,1.1021292
4.318864,-1.7855241,1.9797782
-2.9009047,2.8889644,4.170277
-2.2386777,-0.8566115,1.2846124
-1.984643,-3.6540232,1.0093597
-3.2952907,-0.24013366,1.4052792
1.7670559,-3.1908514,0.3197593
-0.27294534,-3.504249,-1.1204344
5.279886,-2.4632602,2.2354825
-3.591256,2.4867392,4.9971547
2.0564153,-0.015674789,2.140135
-3.4144719,6.035296,9.975559
6.0585113,-3.340713,1.7872554
6.589154,-4.0740323,-0.7033772
1.8391751,0.22365877,4.44374
-3.5784118,2.658212,3.4525115
-2.491017,-2.0030897,7.85955
3.0034816,-0.25096127,1.421326
3.2950375,-0.8652396,3.3146238
-1.3837277,-2.2446115,0.4223147
-3.4680197,3.1654234,4.988445
-3.1006815,5.0089436,5.920299
-1.7591168,5.939576,10.524468
-3.2748964,5.1849394,8.058942
-1.4268248,-2.4347732,7.201759
1.2167515,0.47164568,4.453491
3.5886214,-4.4990635,-0.2518281
-3.0754707,2.5466118,3.284315
-0.516263,3.311162,8.583991
-2.954037,4.3455195,5.782454
4.058135,-5.1142154,-0.55529237
4.0706034,-4.42108,-0.6247685
1.4795822,1.2688109,3.759098
3.85137,-1.3083954,0.19604772
-1.0082027,-2.0602684,7.286873
1.5575936,-0.44892478,2.4267645
4.7850018,-4.111878,0.99071234
3.8016658,-2.9491446,0.059028916
-0.33083314,5.425278,8.985888
-1.5379863,4.9250784,8.543954
-4.251379,0.75916475,2.3409479
-1.876092,4.0601883,8.1568575
6.6889844,-3.099276,-0.36027032
6.2033625,-2.1659844,1.507954
0.32239264,4.597095,8.642117
3.228656,-3.2344236,-0.5168549
-2.3248801,3.927413,4.7056494
-2.4510918,-1.3507518,1.5312192
5.919955,-3.7273827,0.606962
4.262853,-2.851055,0.42321408
0.054140862,-3.7935643,-0.7411767
0.24042958,1.9031895,9.181119
-3.2608123,2.8553445,5.4664755
-4.9272,0.94491976,1.9336927
5.3612695,-4.5617146,0.10650477
-3.8280153,5.923053,9.277096
1.3832769,-4.652424,1.1902397
-2.785534,5.5695744,7.286503
-2.0768442,-3.946607,0.40932497
0.975893,-4.1984544,1.2293571
0.7809613,0.25257072,2.9892724
-2.4850423,-0.5655887,0.68417543
-3.3275905,3.408302,5.610809
-1.3127013,-3.0070846,1.5324582
-0.1274719,-5.215016,-0.098356776
4.804813,-2.1007087,-0.32187274
-2.7196364,-1.8814787,1.6427553
-2.350837,-2.2693782,8.471646
-3.762203,1.2293775,1.875719
-3.860446,-0.77660865,2.1228473
0.34022054,4.124946,8.339084
2.2759347,-4.5691156,-0.11376481
5.449385,-4.6593595,-0.9621203
-1.2644092,-4.7641025,0.051047914
0.6790675,1.54504,7.59217
5.029043,-3.7856894,0.74554825
-3.1005254,1.1237373,2.7177327
2.1345854,-0.67711264,2.226133
0.3353911,1.6694955,9.592276
2.4093597,-1.1036679,4.047794
-1.4421865,6.251055,10.891782
-0.44688767,-4.5882945,-0.12079396
1.1217878,0.99412113,1.7131687
-3.9096482,3.5626786,5.736161
0.98778045,-3.7960653,-0.5328972
-3.5603626,5.630668,7.6543407
1.145929,-3.6030312,1.052801
-1.5824513,5.5548167,9.723864
-2.6619723,-1.7694216,8.725197
3.5100996,-0.2391735,2.4758205
1.0334531,1.1074226,8.994756
-1.7233344,-1.6208885,0.5950253
-2.8979683,-2.1330433,8.305835
-4.511069,0.8085537,0.89804316
-0.6612992,-2.8969634,-0.17512067
3.6342351,-4.242812,1.2495011
-0.48179844,3.0286522,8.977859
4.1932034,-3.474101,-0.9769813
-3.2852015,0.4907722,1.1114314
0.87302566,0.5775051,2.166057
4.594533,-3.8409836,-1.2873774
2.6274145,-0.27190298,2.5913894
-1.1778797,-2.6111252,6.669862
4.2363167,-0.51284873,1.061896
2.6581469,-3.438401,0.13961461
2.9867127,-1.0052884,5.18803
-0.32953012,-3.371111,0.7721943
1.0819296,2.650141,9.296975
0.54780084,2.115482,7.9671187
-2.9094138,-0.4880427,0.20023572
6.0835886,-2.067571,0.9455944
-1.2251439,6.1022954,8.594989
-2.097493,5.3241386,8.385043
2.1363938,-0.26295525,4.922034
-0.124269724,6.0683365,9.857408
-0.101030484,4.7415657,7.624138
3.7022126,-5.040918,0.5124892
-1.1581337,-4.2342443,-0.97276574
2.9417865,-1.2475736,2.8867874
-4.192387,-0.933812,1.5944914
3.1684842,-1.9918362,1.882284
5.0660067,-2.3432813,0.7048605
-4.1775737,3.2617552,3.6272511
1.3293977,1.3799744,7.5999875
-1.4397826,7.17918,9.491155
3.0353606,-1.9366647,1.2726402
-1.5188168,4.5401635,9.623915
3.5941079,-1.5591457,0.7273238
4.4558578,-4.0046296,-0.6728698
-1.6184673,-2.533971,-0.15389046
-0.70811003,-4.0461116,-1.3227953
5.873791,-2.663527,1.0950396
1.2818483,0.9991077,8.662068
3.0054293,-4.8834085,-0.18093356
-0.008291122,5.9426417,9.169427
-0.67996174,-2.146032,7.8805194
-3.3934026,4.976331,8.706908
3.0230653,-1.2302155,0.1561549
-2.2940395,-2.832258,-0.38501757
6.0803366,-4.099384,0.01177779
-0.3253749,4.373645,10.369227
6.3625402,-4.6919403,0.52980757
4.631931,-1.360346,0.44373524
4.311251,-4.2905397,-0.17170388
0.38500637,1.3570992,2.6119118
-3.8467462,5.1709995,7.10636
-2.7301674,4.2438836,7.819115
0.3622313,3.5981987,8.814645
0.7674694,-4.668138,-0.30714005
-0.19733074,1.6343503,9.411284
0.8543019,-4.9954257,-0.8762886
0.4558068,0.7652219,9.217673
